step,vehicle_count,avg_speed
0,2,14.306700000000001
1,3,13.637854734541193
2,4,10.023539249154249
3,7,9.430836725528424
4,8,8.623448158385063
5,10,6.894115750025885
6,12,5.640582463747179
7,14,6.05730793851224
8,15,6.746459657400476
9,18,6.726452372451252
10,19,7.182654059267007
11,20,7.223453600905083
12,23,6.6045107076645815
13,24,6.894030820907339
14,26,7.473432648351845
15,28,7.472681718115287
16,30,7.5680910306398195
17,31,7.910591025569759
18,34,7.903824720897946
19,35,8.52489320154486
20,38,8.940429159458573
21,39,9.504767431063167
22,40,10.159329196160344
23,43,9.644481467637885
24,44,9.50420464511697
25,46,9.071338143309813
26,48,8.77577901000432
27,50,9.222478778323627
28,51,9.903795556140667
29,54,9.83896272249654
30,55,10.372710530102818
31,56,10.399324401941472
32,59,10.252639698415523
33,60,10.660612297616783
34,62,10.51121728438045
35,64,10.347251838670232
36,66,10.823614455010475
37,68,11.565423622108298
38,70,11.937174751315936
39,71,12.159372481423807
40,74,12.169930686315302
41,75,12.310530001031498
42,76,12.472242687361721
43,79,12.499199896370733
44,80,12.229018329525218
45,82,11.995020948898013
46,84,11.639906108851763
47,86,11.6928438151031
48,87,11.758928777543838
49,90,11.880787067706455
50,91,12.20543101060531
51,92,12.521124178657967
52,95,12.420459214868055
53,96,12.228573545181327
54,99,12.241256664037374
55,100,12.416340206678044
56,102,12.322863426488361
57,104,12.394855732648464
58,106,12.559041153015505
59,107,12.885096846586956
60,110,12.927250717074722
61,111,13.272953622817143
62,112,13.613035482139455
63,115,13.702615364962417
64,115,14.130359526747828
65,117,14.481429574307105
66,119,14.55109287140521
67,121,14.530684852658695
68,123,14.244428585890395
69,126,14.045542406030657
70,127,13.796656124004292
71,130,13.55744899518853
72,131,13.605560316233989
73,132,13.667864726143934
74,135,13.43829451845486
75,136,13.587925013731713
76,138,13.679061369702262
77,140,13.788923098011281
78,142,13.873974264970258
79,142,14.053059658207268
80,145,13.794090052294578
81,146,14.074085254660007
82,147,14.336174476384533
83,150,14.402990638487063
84,151,14.367938443857184
85,153,14.426839828375684
86,155,14.367964416118209
87,157,14.36747204990307
88,159,14.271265126082907
89,161,14.308714516270518
90,162,14.383164747132435
91,165,14.67159044921543
92,166,14.99177725512186
93,167,15.074679920024797
94,170,15.012232127785072
95,171,15.04740095742262
96,173,14.967822117379548
97,175,14.792464058736446
98,177,15.028229445213421
99,178,15.017803412209938
100,181,14.879878065292464
101,182,14.848339571495458
102,183,14.825058635207045
103,185,14.528995419668558
104,186,14.518726828324438
105,188,14.302892991384585
106,189,14.3780567978034
107,191,14.348241346309335
108,192,14.256838325181066
109,194,14.370848904873563
110,195,14.45202143317029
111,198,14.362472148915899
112,198,14.298943887923635
113,200,14.162032128819915
114,203,13.952742615399398
115,204,13.924090649449676
116,206,13.931484971677286
117,207,13.950505958843104
118,208,14.07555856282681
119,209,14.371158167349163
120,212,14.315144216506969
121,212,14.347431306070948
122,213,14.348799524470907
123,215,14.197554324903756
124,216,14.168449528047711
125,219,14.22306642689174
126,220,14.262647696416833
127,222,14.388868693310792
128,224,14.545116873160753
129,226,14.394077854310495
130,225,14.354625783228219
131,228,14.183677480492278
132,228,14.391364972457202
133,230,14.366036722642887
134,233,14.424142324626173
135,234,14.550863545106667
136,236,14.638373583541831
137,238,14.624944269204333
138,239,14.615627390748964
139,239,14.713540259686969
140,241,14.772844760793358
141,241,15.112406634588778
142,244,15.058066761514501
143,244,14.903663837664821
